Number of elements,SS,SC,SR,IS,IC,IR,QS,QC,QR
10000,31,41,59,1,1,59,1,126,9
20000,89,101,94,1,1,163,1,375,13
30000,231,198,208,1,2,114,1,796,25
40000,348,237,341,1,1,205,2,1498,4
50000,473,324,488,1,1,271,2,2083,4
60000,689,4533,495,3,2,382,2,2952,6
70000,630,584,593,3,3,530,2,4000,6
80000,739,765,744,4,4,703,2,5378,7
90000,939,898,880,4,4,932,2,6669,7
100000,1105,1100,1078,5,4,1119,3,8278,9
500000,28931,30693,32794,6,6,28560,50,210402,53
1000000,134110,13131,14100,7,9,116273,97,841670,99
10000000,16902157,18636925,N/A,13,23,13990430,553,21427642,1047
100000000,N/A,N/A,N/A,80,79,N/A,3503,N/A,11332
1000000000,N/A,N/A,N/A,3816,466,N/A,93505,N/A,185676
